"","Site","Plot","Treatment","Year","type","BOER","CHSES","KOAM","PLJA","SATR","CAJA","CHEN","LILE","SPHA","UKFO","ACMI","ARCA","ARFE","ASHU","COAR","ERFL","LASE","LUKI","PLRI","POHI","PSMO","TRDU","UKGR","ALGE","ANRO","BOGR","BRPO","ELEL","EPBR","FEAR","MUMO","MURI","PODO","CAGE","CIWH","ERRA","MESP","POOL","ERFO","PEVI","ATCO","EPVI","DAPU","SPAI","KRLA","CHRE","ERNA","GUSA","HECO","JUMO","CHER","HELO","ZIGR","ARPU","BOGR ","SOEL","GLGO","CHDE","STTE","ATCA","CAPA","GETR","IRMI","POPR","ROWO","VETH","VIAM","ASSP","LUAR","HYHO","TAOF","PTAQ"
"32","Black Point","8","Control",2021,"aboveground",0.0262852725164283,0.350792423656745,NA,NA,0.579822187862389,NA,NA,NA,0.000966370313103981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0405875531503672,NA,0.00154619250096637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Black Point","9","Water Addition",2021,"aboveground",0.356986899563319,0.126637554585153,NA,NA,0.109170305676856,NA,NA,NA,0.00109170305676856,0.00109170305676856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393013100436681,NA,0.00109170305676856,0.0109170305676856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Black Point","10","Water Addition",2021,"aboveground",0.126675603217158,0.601876675603217,NA,NA,0.0603217158176944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21112600536193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Black Point","11","Water Addition",2021,"aboveground",0.345041964563258,0.271059993783028,NA,NA,NA,NA,NA,NA,0.00155424308361828,0.00155424308361828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00777121541809139,NA,NA,NA,0.373018340068387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Black Point","12","Water Addition",2021,"aboveground",0.495164410058027,0.253384912959381,NA,NA,0.251450676982592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Blue Chute","1","Water Addition",2021,"aboveground",NA,NA,NA,NA,0.00168833361472227,NA,0.130001688333615,NA,0.00422083403680567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466824244470707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00168833361472227,NA,NA,NA,NA,NA,NA,NA,0.142326523721087,0.18571669761945,0.025325004220834,0.0337666722944454,0.00844166807361135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Blue Chute","2","Control",2021,"aboveground",NA,NA,0.020440251572327,NA,0.00707547169811321,NA,0.0786163522012578,NA,0.00157232704402516,0.00157232704402516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536949685534591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074685534591195,0.0511006289308176,NA,0.0314465408805031,NA,0.00786163522012578,0.102201257861635,0.0864779874213836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Blue Chute","3","Control",2021,"aboveground",NA,NA,0.0369913686806412,NA,0.0061652281134402,NA,NA,NA,0.00061652281134402,0.0154130702836005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149815043156597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339087546239211,0.376078914919852,0.0863131935881628,0.0986436498150432,0.0678175092478422,NA,0.0172626387176326,0.0493218249075216,NA,0.0123304562268804,0.0493218249075216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Blue Chute","4","Water Exclusion",2021,"aboveground",NA,0.0422163588390501,NA,NA,NA,NA,0.0580474934036939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316622691292876,0.263852242744063,0.316622691292876,NA,0.00263852242744063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Blue Chute","5","Control",2021,"aboveground",NA,NA,0.00161759948236817,NA,NA,NA,0.113231963765772,NA,0.000808799741184083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250727919767066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181171142025235,NA,NA,NA,NA,NA,NA,NA,0.214331931413782,0.0161759948236817,0.0727919767065675,0.274991912002588,NA,0.000808799741184083,0.0363959883532837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
